# c6g.2xlarge
# Neoverse N1 [Graviton 2]
#
# 'funnel' benchmark with tokio runtime
#       capacity   async_channel           flume    postage_mpsc       tachyonix      tokio_mpsc 
               1         6780459        23992439        14829701        27620859        17977298
              10        39581732        56627900        66711495        86847729        17968876
             100        74345778        82532715        87369728       111846464        48622934
            1000        79559150        82424740        87626296       124890677        47290313
           10000        78660184        80398847        87132639       119708716        47279421

