# c6a.2xlarge
# AMD EPYC 7R13 Processor [Zen 3]
#
# 'funnel' benchmark with tokio runtime
#       capacity   async_channel           flume    postage_mpsc       tachyonix      tokio_mpsc 
               1        11318476        34335063        20757761        35559103        22505540
              10        58425516        77293668        63513082       112452531        23438140
             100       115601733       105649842        78398356       143484932        61288739
            1000       125844269       107634723        79617332       148206177        60704362
           10000       123517697       107430294        79427359       147650660        59465087
