# c6a.2xlarge
# AMD EPYC 7R13 Processor [Zen 3]
#
# 'pinball' benchmark with tokio runtime
#     ball count   async_channel           flume    postage_mpsc       tachyonix      tokio_mpsc 
               1        38970259        34363237        30828262        59147438        34312961
               3        31309970        33948801        30974329        57992671        36489783
               7        34823516        37180623        33395038        60626638        37854752
              17        44302477        46275286        39807945        70265416        42964602
              41        61375821        63041414        50448845        87599872        52716999
             101        81999139        83612886        60983211       109222391        60475181
             241        97413697        97549634        67902686       122356536        64754981
