# c6g.2xlarge
# Neoverse N1 [Graviton 2]
#
# 'pinball' benchmark with tokio runtime
#     ball count   async_channel           flume    postage_mpsc       tachyonix      tokio_mpsc 
               1        24402417        24835635        34079477        52939129        30084417
               3        21032788        24015803        32246446        49192103        30212496
               7        23967834        26578092        34980638        51697126        31665409
              17        30673003        34040555        40163209        57510652        35005038
              41        43200704        50208772        54243643        77289467        41648718
             101        57636944        69164410        69296062        98328040        49581369
             241        68492229        84133058        79066522       112627770        53556054
